Date,Time,IP Address,HTTP Method,Request,Status Code,Gender,Sport Viewed,Ad Displayed,Rating,Feedback,Session Duration (seconds),Continent,Country,Latitude,Longitude
2024-04-30,07:33:06,139.148.242.219,POST,/home,200,Male,Basketball,Yes,5,Excellent,9823,Asia,Vietnam,14.0583,108.2772
2023-12-19,00:14:42,58.120.83.35,GET,/fanzone,404,Female,Baseball,Yes,2,Average,9026,South America,Argentina,-38.4161,-63.6167
2024-03-10,18:58:31,93.194.247.61,PUT,/home,304,Female,Baseball,No,4,Average,2433,Asia,Japan,36.2048,138.2529
2024-05-16,18:18:04,202.62.52.8,POST,/players,404,Female,Boxing,Yes,1,Average,8919,South America,Argentina,-38.4161,-63.6167
2023-11-27,17:21:50,118.149.208.5,PUT,/gallery,200,Male,Football,No,1,Excellent,5959,Asia,Bangladesh,23.685,90.3563
2023-12-24,00:05:14,19.184.138.243,GET,/home,404,Female,Netball,No,5,Average,3175,Asia,Vietnam,14.0583,108.2772
2023-12-12,03:18:05,167.225.60.98,GET,/home,304,Female,Football,Yes,2,Poor,8654,Europe,United Kingdom,55.3781,-3.436
2023-12-31,20:01:56,69.5.13.174,PUT,/gallery,304,Female,Football,No,3,Good,5729,North America,Cuba,21.5218,-77.7812
2023-12-14,08:38:22,169.246.18.208,GET,/teams,200,Female,Swimming,Yes,5,Good,2647,South America,Argentina,-38.4161,-63.6167
2024-01-30,09:12:26,185.92.90.71,GET,/shop,404,Female,Baseball,Yes,5,Good,9532,North America,Costa Rica,9.7489,-83.7534
2023-12-02,01:27:53,114.155.163.252,GET,/news,200,Male,Baseball,Yes,3,Good,8667,Asia,Iran,32.4279,53.688
2024-04-22,22:01:53,145.40.66.87,PUT,/news,304,Female,Basketball,Yes,3,Poor,4292,Africa,Zimbabwe,-19.0154,29.1549
2023-11-29,02:58:46,33.217.208.119,POST,/news,404,Female,Baseball,No,1,Poor,6121,Europe,United Kingdom,55.3781,-3.436
2023-11-19,15:27:02,160.186.1.202,GET,/about,404,Male,Tennis,Yes,1,Average,2412,North America,Cuba,21.5218,-77.7812
2023-12-05,06:35:31,49.139.246.0,GET,/shop,404,Male,Basketball,Yes,1,Average,8645,Asia,India,20.5937,78.9629
2024-04-14,09:31:42,36.176.200.189,POST,/gallery,404,Female,Tennis,Yes,3,Average,2540,Asia,Pakistan,30.3753,69.3451
2024-04-07,15:49:15,186.98.1.11,PUT,/players,304,Female,Swimming,Yes,4,Average,4606,Africa,Algeria,28.0339,1.6596
2024-02-10,07:51:23,38.24.243.181,POST,/home,404,Female,Baseball,No,5,Poor,7060,Asia,Turkey,38.9637,35.2433
2023-12-09,19:59:21,101.245.182.78,GET,/events,304,Male,Netball,No,4,Average,3678,North America,Jamaica,18.1096,-77.2975
2023-12-18,07:25:06,152.30.128.1,POST,/home,200,Female,Boxing,Yes,3,Good,1756,Europe,Netherlands,52.1326,5.2913
2024-05-11,11:51:31,101.84.5.17,PUT,/about,200,Male,Boxing,No,5,Good,9925,South America,Peru,-9.19,-75.0152
2024-03-10,08:42:40,30.146.125.211,POST,/shop,200,Male,Boxing,Yes,1,Poor,9910,Asia,Philippines,12.8797,121.774
2023-11-28,22:21:17,194.220.7.163,PUT,/news,404,Female,Football,No,4,Average,605,Asia,Indonesia,-0.7893,113.9213
2024-05-14,18:16:16,28.176.243.31,GET,/about,304,Female,Baseball,No,3,Good,5753,Europe,Netherlands,52.1326,5.2913
2024-04-02,01:12:30,94.60.213.120,PUT,/gallery,200,Female,Swimming,No,2,Poor,1456,North America,Mexico,23.6345,-102.5528
2024-02-19,11:42:10,211.202.197.219,POST,/contact,200,Female,Baseball,Yes,3,Poor,8053,South America,Venezuela,6.4238,-66.5897
2024-03-22,18:58:51,143.223.168.244,PUT,/players,200,Male,Boxing,No,1,Excellent,1214,Asia,China,35.8617,104.1954
2024-02-07,23:07:41,45.123.180.176,GET,/events,404,Male,Swimming,No,2,Excellent,6177,Asia,Turkey,38.9637,35.2433
2023-11-23,18:18:06,34.44.70.0,PUT,/news,200,Female,Basketball,Yes,2,Good,4669,Africa,Nigeria,9.082,8.6753
2023-11-30,08:46:01,17.193.58.88,PUT,/fanzone,404,Male,Boxing,Yes,2,Average,6330,South America,Uruguay,-32.5228,-55.7658
2024-05-17,13:27:18,145.38.132.92,PUT,/gallery,404,Female,Boxing,No,4,Good,11160,South America,Bolivia,-16.2902,-63.5887
2024-01-04,05:01:07,61.210.17.57,POST,/fanzone,404,Male,Tennis,Yes,1,Poor,8918,Asia,Philippines,12.8797,121.774
2024-02-11,23:21:37,192.169.157.75,POST,/teams,404,Female,Netball,No,3,Average,4076,Africa,Ghana,7.9465,-1.0232
2024-02-25,10:45:04,174.28.81.158,GET,/gallery,200,Female,Football,Yes,1,Excellent,1778,Africa,Egypt,26.8206,30.8025
2024-02-06,15:40:53,137.200.102.65,PUT,/home,200,Female,Swimming,Yes,4,Good,10280,South America,Chile,-35.6751,-71.543
2023-11-26,13:48:01,103.155.11.143,POST,/fixtures,404,Female,Basketball,Yes,2,Good,3717,South America,Brazil,-14.235,-51.9253
2024-04-14,18:32:35,62.191.170.133,POST,/shop,304,Male,Swimming,Yes,5,Average,3481,North America,Guatemala,15.7835,-90.2308
2024-03-21,20:19:00,211.240.180.31,PUT,/news,304,Female,Swimming,Yes,5,Average,8832,Europe,Germany,51.1657,10.4515
2024-03-01,08:28:11,196.155.164.158,GET,/fixtures,404,Female,Swimming,Yes,3,Average,3352,Asia,India,20.5937,78.9629
2024-03-21,02:03:12,137.66.8.235,POST,/contact,200,Female,Football,Yes,5,Good,6219,Africa,Kenya,-0.0236,37.9062
2023-12-27,21:37:14,39.140.185.219,GET,/fixtures,404,Female,Football,Yes,3,Excellent,5751,Africa,Kenya,-0.0236,37.9062
2023-11-21,18:43:05,55.165.131.162,GET,/fanzone,200,Female,Netball,No,1,Good,7351,North America,Guatemala,15.7835,-90.2308
2023-12-30,06:13:00,104.190.93.26,GET,/fixtures,404,Female,Football,No,5,Poor,2247,Europe,Belgium,50.5039,4.4699
2024-04-05,22:47:28,165.190.36.146,GET,/tickets,200,Male,Boxing,Yes,1,Good,8169,Europe,United Kingdom,55.3781,-3.436
2024-02-21,12:30:45,188.149.188.191,PUT,/fanzone,304,Male,Netball,No,4,Average,9664,South America,Venezuela,6.4238,-66.5897
2024-01-02,04:29:28,179.29.101.56,PUT,/about,404,Male,Swimming,No,4,Poor,2938,Asia,Turkey,38.9637,35.2433
2024-01-20,16:27:55,122.215.69.172,POST,/shop,404,Female,Tennis,Yes,5,Good,5000,Europe,Belgium,50.5039,4.4699
2024-01-09,05:57:07,28.79.190.152,POST,/home,200,Female,Netball,No,3,Excellent,8327,South America,Uruguay,-32.5228,-55.7658
2024-03-28,11:08:17,59.23.28.228,GET,/tickets,404,Female,Swimming,No,4,Excellent,2705,North America,United States,37.0902,-95.7129
2023-12-27,20:08:21,108.247.136.141,GET,/players,304,Female,Basketball,Yes,2,Average,10130,Asia,Japan,36.2048,138.2529
2024-03-02,16:15:40,104.191.140.209,PUT,/fanzone,404,Male,Baseball,Yes,3,Excellent,10539,Europe,Romania,45.9432,24.9668
2024-01-30,07:25:21,215.249.2.117,GET,/about,200,Male,Football,No,1,Good,3778,Europe,United Kingdom,55.3781,-3.436
2024-03-19,22:29:21,151.97.137.53,GET,/news,304,Male,Netball,No,3,Average,6355,Africa,Kenya,-0.0236,37.9062
2024-05-16,11:04:41,47.253.8.153,GET,/about,200,Female,Basketball,Yes,1,Poor,6793,South America,Argentina,-38.4161,-63.6167
2023-12-14,16:28:11,43.183.177.68,GET,/tickets,404,Female,Boxing,Yes,2,Excellent,2240,South America,Ecuador,-1.8312,-78.1834
2024-02-19,19:41:17,170.212.136.103,PUT,/news,200,Female,Football,No,3,Average,8904,Europe,Netherlands,52.1326,5.2913
2024-01-16,06:06:45,26.43.35.173,PUT,/shop,404,Male,Boxing,Yes,4,Excellent,2798,Asia,Bangladesh,23.685,90.3563
2023-11-29,20:56:18,5.65.198.76,PUT,/fixtures,200,Female,Tennis,Yes,3,Average,6061,Africa,South Africa,-30.5595,22.9375
2024-03-16,17:47:19,32.107.96.11,POST,/fixtures,404,Male,Swimming,No,1,Excellent,5215,North America,Costa Rica,9.7489,-83.7534
2024-05-15,19:31:14,6.35.94.94,PUT,/about,200,Male,Boxing,No,3,Poor,7324,Europe,Spain,40.4637,-3.7492
2024-01-26,02:25:34,213.2.206.250,PUT,/shop,200,Female,Basketball,No,3,Poor,3956,Asia,China,35.8617,104.1954
2023-12-27,02:14:20,98.179.127.78,POST,/gallery,200,Female,Netball,Yes,3,Good,7432,Africa,Zimbabwe,-19.0154,29.1549
2024-02-02,14:55:58,187.162.59.22,PUT,/home,304,Male,Tennis,No,2,Poor,7533,Asia,Bangladesh,23.685,90.3563
2024-04-12,03:33:48,148.10.31.99,GET,/events,200,Female,Boxing,No,3,Poor,1330,South America,Uruguay,-32.5228,-55.7658
2024-05-01,18:05:03,120.253.112.130,GET,/fixtures,200,Male,Basketball,Yes,5,Good,4911,North America,Mexico,23.6345,-102.5528
2024-05-06,05:12:35,95.92.156.92,PUT,/fanzone,404,Male,Netball,No,4,Good,1431,Europe,Italy,41.8719,12.5674
2024-03-18,19:46:57,114.78.119.16,PUT,/fixtures,200,Female,Swimming,Yes,1,Excellent,9586,Asia,Vietnam,14.0583,108.2772
2023-12-18,07:23:07,216.199.70.70,POST,/news,200,Male,Swimming,No,4,Excellent,3846,Africa,Zimbabwe,-19.0154,29.1549
2024-03-27,17:34:02,4.147.191.231,PUT,/home,404,Female,Basketball,No,4,Good,4114,North America,United States,37.0902,-95.7129
2024-03-22,04:25:56,202.171.191.25,POST,/home,404,Male,Tennis,No,2,Excellent,4914,North America,Honduras,15.2,-86.2419
2024-04-02,06:18:06,143.142.16.227,POST,/contact,200,Male,Netball,No,3,Poor,10486,Africa,Morocco,31.7917,7.0926
2024-02-02,19:30:44,213.202.39.131,POST,/gallery,200,Female,Tennis,Yes,4,Poor,5666,North America,Dominican Republic,18.7357,-70.1627
2023-11-25,13:31:57,188.122.70.140,PUT,/events,404,Male,Basketball,Yes,4,Poor,7424,Africa,Kenya,-0.0236,37.9062
2023-12-25,11:40:06,167.234.143.166,PUT,/news,304,Female,Basketball,Yes,2,Good,8685,Asia,Pakistan,30.3753,69.3451
2024-03-02,23:31:59,48.6.131.146,PUT,/events,404,Female,Basketball,Yes,5,Good,5929,Africa,Kenya,-0.0236,37.9062
2024-02-14,12:17:10,198.154.4.5,POST,/tickets,304,Female,Baseball,Yes,2,Excellent,3268,South America,Colombia,4.5709,-74.2973
2023-11-22,10:10:18,166.205.207.56,GET,/players,200,Female,Boxing,No,2,Average,8380,Asia,Vietnam,14.0583,108.2772
2024-05-03,08:44:09,40.244.52.173,POST,/gallery,404,Male,Netball,No,1,Excellent,1360,Asia,Philippines,12.8797,121.774
2024-01-13,17:23:16,107.76.244.8,PUT,/tickets,200,Female,Boxing,No,1,Excellent,7042,Africa,Egypt,26.8206,30.8025
2023-12-11,11:28:21,40.40.227.52,GET,/fanzone,404,Male,Basketball,No,3,Excellent,5605,Asia,Turkey,38.9637,35.2433
2024-03-03,04:55:35,110.14.50.34,POST,/contact,200,Female,Tennis,Yes,1,Average,5843,North America,Mexico,23.6345,-102.5528
2024-04-27,15:21:59,115.66.228.53,PUT,/news,200,Male,Tennis,No,3,Average,2790,Europe,Romania,45.9432,24.9668
2024-01-21,07:11:23,167.9.36.72,PUT,/players,304,Female,Basketball,No,3,Excellent,3652,Africa,Egypt,26.8206,30.8025
2023-12-24,19:05:32,166.40.138.220,POST,/fanzone,200,Female,Football,No,4,Excellent,10886,North America,Guatemala,15.7835,-90.2308
2024-02-19,11:57:21,48.153.103.173,GET,/about,404,Female,Baseball,No,3,Good,3424,Africa,Nigeria,9.082,8.6753
2024-05-10,19:06:11,205.80.42.241,GET,/news,404,Female,Football,Yes,2,Average,10086,North America,Jamaica,18.1096,-77.2975
2024-03-24,09:47:31,2.118.121.80,GET,/events,200,Male,Boxing,No,2,Average,4448,Asia,Philippines,12.8797,121.774
2024-02-29,10:17:19,36.211.68.111,PUT,/tickets,304,Female,Basketball,Yes,1,Poor,9350,Europe,Poland,51.9194,19.1451
2024-01-29,14:52:01,161.20.59.42,POST,/home,200,Male,Netball,Yes,3,Average,6291,South America,Ecuador,-1.8312,-78.1834
2024-04-17,17:30:07,2.96.23.153,GET,/contact,200,Female,Tennis,Yes,5,Excellent,2814,Africa,Botswana,-22.3285,24.6849
2024-01-28,00:01:10,184.109.97.245,PUT,/tickets,404,Male,Basketball,No,2,Good,6265,Asia,Japan,36.2048,138.2529
2024-03-23,22:43:35,217.28.198.98,GET,/fixtures,200,Female,Boxing,No,3,Poor,10313,Asia,Bangladesh,23.685,90.3563
2024-03-23,13:00:18,171.171.38.220,POST,/players,404,Female,Basketball,No,2,Poor,5827,Africa,South Africa,-30.5595,22.9375
2023-12-25,22:56:12,2.78.169.57,GET,/news,404,Male,Netball,Yes,2,Excellent,5252,Asia,Turkey,38.9637,35.2433
2024-04-11,16:44:50,160.117.99.193,POST,/teams,404,Female,Basketball,No,3,Poor,10407,Europe,Spain,40.4637,-3.7492
2023-11-22,07:21:56,43.152.171.182,POST,/home,200,Male,Football,No,5,Good,9252,North America,Panama,8.538,-80.7821
2024-04-29,11:57:44,189.148.84.111,GET,/news,404,Male,Basketball,No,1,Average,6788,Europe,Poland,51.9194,19.1451
2024-03-12,08:02:01,79.8.44.36,GET,/teams,200,Male,Boxing,Yes,5,Good,2989,North America,Cuba,21.5218,-77.7812
2024-05-10,21:45:58,106.24.1.69,GET,/gallery,200,Female,Netball,No,2,Average,2359,South America,Ecuador,-1.8312,-78.1834
2024-01-19,15:44:18,216.245.23.223,PUT,/shop,200,Female,Netball,No,2,Poor,7443,Asia,Vietnam,14.0583,108.2772
2023-12-22,17:03:48,101.78.213.121,GET,/about,304,Male,Baseball,Yes,1,Poor,1271,South America,Paraguay,-23.4425,-58.4438
2024-02-20,21:15:26,63.18.199.163,GET,/teams,404,Female,Tennis,No,4,Poor,6257,Africa,Botswana,-22.3285,24.6849
2023-12-02,16:51:03,153.213.54.224,PUT,/fixtures,304,Male,Basketball,No,3,Average,10970,Europe,Ukraine,48.3794,31.1656
2023-11-30,20:56:19,207.194.135.199,PUT,/players,404,Male,Tennis,Yes,2,Poor,11223,Europe,Netherlands,52.1326,5.2913
2024-03-26,19:57:17,168.192.234.58,PUT,/events,404,Female,Baseball,Yes,2,Excellent,10106,Africa,Egypt,26.8206,30.8025
2024-01-08,15:25:01,34.126.164.52,PUT,/home,404,Male,Basketball,No,2,Good,4746,South America,Venezuela,6.4238,-66.5897
2024-04-03,07:45:50,178.233.104.196,PUT,/fixtures,200,Female,Boxing,No,5,Poor,6214,Europe,Ukraine,48.3794,31.1656
2024-01-15,05:57:34,174.115.1.203,GET,/gallery,404,Male,Tennis,No,2,Average,1286,Asia,Japan,36.2048,138.2529
2023-12-01,23:14:18,28.207.106.134,GET,/news,404,Female,Football,Yes,5,Poor,3426,Asia,Indonesia,-0.7893,113.9213
2024-01-14,07:19:19,96.81.211.192,GET,/gallery,200,Male,Football,Yes,2,Good,10549,Asia,Bangladesh,23.685,90.3563
2024-04-23,05:46:02,135.223.246.223,PUT,/tickets,304,Male,Tennis,Yes,1,Poor,9472,North America,Panama,8.538,-80.7821
2024-04-23,18:04:14,177.152.36.187,GET,/events,404,Female,Football,Yes,5,Average,764,Asia,Japan,36.2048,138.2529
2023-11-26,00:27:01,144.136.54.165,PUT,/gallery,304,Female,Basketball,No,1,Good,5522,North America,Jamaica,18.1096,-77.2975
2024-01-28,05:12:31,48.2.77.100,PUT,/fixtures,304,Male,Football,Yes,2,Excellent,2146,Africa,Morocco,31.7917,7.0926
2024-02-15,16:17:26,144.104.108.2,GET,/players,304,Male,Football,Yes,1,Excellent,9487,Asia,India,20.5937,78.9629
2024-03-22,09:40:40,14.132.174.69,POST,/teams,304,Male,Swimming,No,4,Poor,11110,North America,Mexico,23.6345,-102.5528
2024-01-28,12:44:39,51.146.253.237,GET,/shop,304,Male,Football,Yes,3,Poor,11044,South America,Venezuela,6.4238,-66.5897
2024-02-14,07:28:44,174.32.230.219,POST,/fanzone,304,Female,Basketball,No,3,Average,6923,South America,Ecuador,-1.8312,-78.1834
2024-02-28,04:26:01,183.210.39.78,GET,/players,304,Male,Football,No,3,Poor,2394,Africa,Egypt,26.8206,30.8025
2023-12-01,01:41:50,49.221.216.180,GET,/news,200,Female,Swimming,No,3,Good,7711,Europe,United Kingdom,55.3781,-3.436
2023-11-28,09:59:09,178.20.7.240,PUT,/fanzone,200,Male,Baseball,Yes,2,Good,2065,North America,Guatemala,15.7835,-90.2308
2024-03-14,08:56:58,54.78.56.131,GET,/gallery,200,Female,Swimming,No,2,Average,8463,North America,United States,37.0902,-95.7129
2024-04-29,00:31:01,62.195.91.217,GET,/news,404,Female,Netball,No,1,Poor,11280,Europe,Germany,51.1657,10.4515
2024-05-05,23:09:33,21.196.88.157,GET,/fixtures,200,Male,Netball,No,3,Poor,6941,Africa,Zimbabwe,-19.0154,29.1549
2023-11-19,15:32:28,140.139.104.49,PUT,/gallery,200,Male,Baseball,Yes,4,Average,6659,North America,United States,37.0902,-95.7129
2024-02-03,05:35:00,101.163.67.119,GET,/gallery,200,Male,Tennis,Yes,3,Average,6992,Europe,Ukraine,48.3794,31.1656
2024-03-06,19:17:32,4.94.139.86,POST,/contact,404,Female,Football,No,4,Poor,5304,North America,Guatemala,15.7835,-90.2308
2024-01-29,01:43:15,19.147.197.74,GET,/contact,404,Female,Netball,Yes,3,Excellent,2333,Asia,Philippines,12.8797,121.774
2024-02-21,04:36:32,176.204.192.228,PUT,/gallery,404,Male,Boxing,No,2,Good,639,North America,United States,37.0902,-95.7129
2024-03-28,02:11:10,168.84.249.107,GET,/fixtures,200,Male,Basketball,Yes,4,Excellent,6502,Asia,Vietnam,14.0583,108.2772
2024-01-21,05:01:16,124.181.114.157,PUT,/contact,200,Female,Basketball,No,1,Poor,2839,North America,Dominican Republic,18.7357,-70.1627
2023-12-29,16:52:29,30.51.95.192,GET,/about,304,Male,Netball,No,5,Poor,3684,Asia,Iran,32.4279,53.688
2024-03-28,06:25:32,183.140.57.25,PUT,/fixtures,304,Female,Tennis,No,5,Good,9169,Africa,Botswana,-22.3285,24.6849
2024-04-12,00:49:42,47.58.99.91,POST,/teams,200,Male,Boxing,Yes,4,Excellent,10093,Europe,Germany,51.1657,10.4515
2023-12-01,18:10:42,77.250.79.42,PUT,/home,304,Female,Baseball,No,1,Good,1544,Europe,Romania,45.9432,24.9668
2024-02-11,04:24:33,106.57.117.67,GET,/contact,304,Female,Netball,No,3,Average,3936,North America,Guatemala,15.7835,-90.2308
2023-12-30,18:35:14,77.176.205.20,POST,/teams,404,Male,Tennis,No,1,Excellent,9493,Europe,Romania,45.9432,24.9668
2024-01-17,02:20:32,98.92.85.1,GET,/tickets,304,Female,Tennis,No,5,Excellent,11015,Asia,Indonesia,-0.7893,113.9213
2024-01-15,04:24:57,142.190.38.131,GET,/fanzone,404,Male,Basketball,No,1,Excellent,4426,North America,Dominican Republic,18.7357,-70.1627
2024-02-09,01:07:46,34.159.135.45,GET,/contact,304,Female,Basketball,Yes,2,Good,2112,Europe,Netherlands,52.1326,5.2913
2024-01-20,03:14:48,91.113.39.179,PUT,/news,200,Female,Baseball,No,5,Poor,1187,Africa,Algeria,28.0339,1.6596
2024-01-06,18:32:34,13.106.67.183,POST,/shop,404,Female,Baseball,No,3,Average,5480,South America,Bolivia,-16.2902,-63.5887
2024-05-08,00:40:20,7.209.248.151,POST,/teams,404,Male,Boxing,Yes,4,Poor,2076,Europe,United Kingdom,55.3781,-3.436
2023-12-02,23:44:18,131.152.147.227,POST,/shop,200,Male,Basketball,Yes,2,Good,2733,Africa,Egypt,26.8206,30.8025
2024-03-07,03:52:29,151.128.150.151,GET,/contact,404,Female,Baseball,Yes,5,Excellent,5023,Africa,Morocco,31.7917,7.0926
